"state","State_name","Population","date","category","count","dataQualityGrade"
"OR","Oregon ",4217737,2020-06-01,"posNeg",131618,"A+"
"PA","Pennsylvania ",12801989,2020-06-01,"posNeg",462329,"A+"
"PR","Puerto Rico *",2933408,2020-06-01,"posNeg",3873,"B"
"RI","Rhode Island ",1059361,2020-06-01,"posNeg",156835,"A+"
"SC","South Carolina ",5148714,2020-06-01,"posNeg",204688,"A"
"SD","South Dakota *",884659,2020-06-01,"posNeg",45661,"B"
"TN","Tennessee *",6829174,2020-06-01,"posNeg",448493,"B"
"TX","Texas *",28995881,2020-06-01,"posNeg",970031,"B"
"UT","Utah *",3205958,2020-06-01,"posNeg",218112,"B"
"VA","Virginia ",8535519,2020-06-01,"posNeg",324719,"A+"
"VT","Vermont *",623989,2020-06-01,"posNeg",35326,"B"
"WA","Washington *",7614893,2020-06-01,"posNeg",360899,"B"
"WI","Wisconsin ",5822434,2020-06-01,"posNeg",272138,"A+"
"WV","West Virginia *",1792147,2020-06-01,"posNeg",98095,"B"
"AK","Alaska ",731545,2020-05-31,"posNeg",51695,"A"
"AL","Alabama *",4903185,2020-05-31,"posNeg",217553,"B"
"AR","Arkansas ",3017804,2020-05-31,"posNeg",129515,"A"
"AZ","Arizona ",7278717,2020-05-31,"posNeg",225206,"A+"
"CA","California *",39512223,2020-05-31,"posNeg",1944848,"B"
"CO","Colorado ",5758736,2020-05-31,"posNeg",180627,"A"
"CT","Connecticut *",3565287,2020-05-31,"posNeg",250046,"B"
"DC","District of Columbia ",705749,2020-05-31,"posNeg",46483,"A+"
"DE","Delaware ",973764,2020-05-31,"posNeg",60671,"A"
"FL","Florida ",21477737,2020-05-31,"posNeg",1021349,"A"
"GA","Georgia ",10617423,2020-05-31,"posNeg",465525,"A"
"GU","Guam *",167772,2020-05-31,"posNeg",6102,"B"
"IA","Iowa ",3155070,2020-05-31,"posNeg",156296,"A+"
"ID","Idaho ",1787065,2020-05-31,"posNeg",46697,"A"
"IL","Illinois ",16980127,2020-05-31,"posNeg",898259,"A"
"IN","Indiana ",6732219,2020-05-31,"posNeg",261546,"A+"
"KS","Kansas ",2913314,2020-05-31,"posNeg",94949,"A"
"KY","Kentucky ",4467673,2020-05-31,"posNeg",213753,"A"
"LA","Louisiana *",4648794,2020-05-31,"posNeg",375109,"B"
"MA","Massachusetts ",6892503,2020-05-31,"posNeg",592853,"A+"
"MD","Maryland *",6045680,2020-05-31,"posNeg",301881,"B"
"ME","Maine *",1344212,2020-05-31,"posNeg",49609,"B"
"MI","Michigan ",9986857,2020-05-31,"posNeg",554630,"A+"
"MN","Minnesota ",5639632,2020-05-31,"posNeg",249519,"A"
"MO","Missouri *",6840439,2020-05-31,"posNeg",193561,"B"
"MS","Mississippi ",2976149,2020-05-31,"posNeg",171837,"A"
"NC","North Carolina ",10488084,2020-05-31,"posNeg",416289,"A"
"NH","New Hampshire *",1359711,2020-05-31,"posNeg",70280,"B"
"NJ","New Jersey ",8882190,2020-05-31,"posNeg",746145,"A+"
"NV","Nevada ",3080156,2020-05-31,"posNeg",142560,"A+"
"NY","New York ",19453561,2020-05-31,"posNeg",2063825,"A"
"OH","Ohio *",11689100,2020-05-31,"posNeg",390908,"B"
"OK","Oklahoma ",3956971,2020-05-31,"posNeg",193206,"A+"
"OR","Oregon ",4217737,2020-05-31,"posNeg",129201,"A+"
"PA","Pennsylvania ",12801989,2020-05-31,"posNeg",455657,"A+"
"PR","Puerto Rico *",2933408,2020-05-31,"posNeg",3776,"B"
"RI","Rhode Island ",1059361,2020-05-31,"posNeg",154493,"A+"
"SC","South Carolina ",5148714,2020-05-31,"posNeg",200216,"A"
"SD","South Dakota *",884659,2020-05-31,"posNeg",44128,"B"
"TN","Tennessee *",6829174,2020-05-31,"posNeg",435977,"B"
"TX","Texas *",28995881,2020-05-31,"posNeg",951865,"B"
"UT","Utah *",3205958,2020-05-31,"posNeg",213914,"B"
"VA","Virginia ",8535519,2020-05-31,"posNeg",315391,"A+"
"VT","Vermont *",623989,2020-05-31,"posNeg",33970,"B"
"WA","Washington *",7614893,2020-05-31,"posNeg",354354,"B"
"WI","Wisconsin ",5822434,2020-05-31,"posNeg",268506,"A+"
"WV","West Virginia *",1792147,2020-05-31,"posNeg",97622,"B"
"AK","Alaska ",731545,2020-05-30,"posNeg",51695,"A"
"AL","Alabama *",4903185,2020-05-30,"posNeg",212201,"B"
"AR","Arkansas ",3017804,2020-05-30,"posNeg",126497,"A"
"AZ","Arizona ",7278717,2020-05-30,"posNeg",217047,"A+"
"CA","California *",39512223,2020-05-30,"posNeg",1888595,"B"
"CO","Colorado ",5758736,2020-05-30,"posNeg",175741,"A"
"CT","Connecticut *",3565287,2020-05-30,"posNeg",246935,"B"
"DC","District of Columbia ",705749,2020-05-30,"posNeg",45629,"A+"
"DE","Delaware ",973764,2020-05-30,"posNeg",59329,"A"
"FL","Florida ",21477737,2020-05-30,"posNeg",994968,"A"
"GA","Georgia ",10617423,2020-05-30,"posNeg",454838,"A"
"GU","Guam *",167772,2020-05-30,"posNeg",6102,"B"
"IA","Iowa ",3155070,2020-05-30,"posNeg",150423,"A+"
"ID","Idaho ",1787065,2020-05-30,"posNeg",45424,"A"
"IL","Illinois ",16980127,2020-05-30,"posNeg",877105,"A"
"IN","Indiana ",6732219,2020-05-30,"posNeg",256395,"A+"
"KS","Kansas ",2913314,2020-05-30,"posNeg",94949,"A"
"KY","Kentucky ",4467673,2020-05-30,"posNeg",208195,"A"
"LA","Louisiana *",4648794,2020-05-30,"posNeg",368819,"B"
"MA","Massachusetts ",6892503,2020-05-30,"posNeg",582519,"A+"
"MD","Maryland *",6045680,2020-05-30,"posNeg",293946,"B"
"ME","Maine *",1344212,2020-05-30,"posNeg",49566,"B"
"MI","Michigan ",9986857,2020-05-30,"posNeg",538812,"A+"
"MN","Minnesota ",5639632,2020-05-30,"posNeg",242508,"A"
"MO","Missouri *",6840439,2020-05-30,"posNeg",185430,"B"
"MS","Mississippi ",2976149,2020-05-30,"posNeg",165932,"A"
"NC","North Carolina ",10488084,2020-05-30,"posNeg",404157,"A"
"NH","New Hampshire *",1359711,2020-05-30,"posNeg",68960,"B"
"NJ","New Jersey ",8882190,2020-05-30,"posNeg",745308,"A+"
"NV","Nevada ",3080156,2020-05-30,"posNeg",138532,"A+"
"NY","New York ",19453561,2020-05-30,"posNeg",2005381,"A"
"OH","Ohio *",11689100,2020-05-30,"posNeg",381947,"B"
"OK","Oklahoma ",3956971,2020-05-30,"posNeg",193118,"A+"
"OR","Oregon ",4217737,2020-05-30,"posNeg",126795,"A+"
"PA","Pennsylvania ",12801989,2020-05-30,"posNeg",447772,"A+"
